model_id,model_kind,role,candidate_name,variant_name,leverage,allocation_fraction,round_trip_slippage_fee_bps,train_validation_score,filter_trade_count,trade_filter_params,promotability_scope,shadow_only,primary_10bps_promotion_gate_pass,primary_10bps_promotion_gate_reasons,live_promotable_10bps
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.15,10.0,168.8778420342981,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p125alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.125,10.0,168.75818040870564,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.05,10.0,168.63858878827511,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p1alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.1,10.0,168.63858878827511,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p075alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.075,10.0,168.5190671390728,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_1p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,1.0,0.05,10.0,168.39961544498487,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_5p0x_0p075alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,5.0,0.075,10.0,119.95686147087687,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_3p0x_0p125alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,3.0,0.125,10.0,119.95686147087687,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.175,10.0,119.83687664086052,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_4p0x_0p075alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,4.0,0.075,10.0,119.59701700098321,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_2p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,2.0,0.15,10.0,119.59701700098321,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_6p0x_0p05alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,6.0,0.05,10.0,119.59701700098321,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_family_crypto_residual_reversal_abs_score_ge_1_alpha_zoo_liquidity_sweep_reversal_3p0x_0p1alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_liquidity_sweep_reversal,family_crypto_residual_reversal_abs_score_ge_1,3.0,0.1,10.0,119.59701700098321,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""crypto_residual_reversal""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
hybrid_v3_6_fresh_tv10,hybrid,fresh_train_validation_10bps_hybrid,,,,,10.0,119.25139055840098,,,live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_return_non_positive;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_7p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,7.0,0.175,10.0,9.912301051104269,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_6p0x_0p2alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,6.0,0.2,10.0,9.841270160697384,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_7p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,7.0,0.15,10.0,9.421759292901422,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_6p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,6.0,0.175,10.0,9.421759292901422,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_5p0x_0p2alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,5.0,0.2,10.0,9.284422152750137,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_6p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,6.0,0.15,10.0,9.013413644161384,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_7p0x_0p125alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,7.0,0.125,10.0,8.94641522362752,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_symbol_bnb_usdt_abs_score_ge_2_alpha_zoo_range_sweep_blend_5p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_range_sweep_blend,symbol_bnb_usdt_abs_score_ge_2,5.0,0.175,10.0,8.94641522362752,90,"{""abs_factor_score_min"": 2.0, ""symbol"": ""BNB/USDT""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation;train_total_return_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_7p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,7.0,0.15,10.0,8.693561738973223,48,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_6p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,6.0,0.175,10.0,8.693561738973223,48,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_abs_score_ge_1_alpha_zoo_slow_residual_pair_7p0x_0p15alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure_abs_score_ge_1,7.0,0.15,10.0,8.693561738973223,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_abs_score_ge_1_alpha_zoo_slow_residual_pair_6p0x_0p175alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure_abs_score_ge_1,6.0,0.175,10.0,8.693561738973223,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_alpha_zoo_slow_residual_pair_5p0x_0p2alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure,5.0,0.2,10.0,8.625960553254764,48,"{""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
fresh_tv10_filter_side_long_family_volume_vwap_pressure_abs_score_ge_1_alpha_zoo_slow_residual_pair_5p0x_0p2alloc,individual_seed_trade_filter,fresh_train_validation_10bps_trade_filter,alpha_zoo_slow_residual_pair,side_long_family_volume_vwap_pressure_abs_score_ge_1,5.0,0.2,10.0,8.625960553254764,48,"{""abs_factor_score_min"": 1.0, ""dominant_factor_family"": ""volume_vwap_pressure"", ""side"": ""LONG""}",live_candidate,False,False,locked_oos_calmar_non_positive;locked_oos_return_non_positive;locked_oos_sharpe_non_positive;locked_oos_smart_sortino_non_positive;locked_oos_sortino_non_positive;train_calmar_not_above_validation;train_sharpe_not_above_validation;train_smart_sortino_not_above_validation;train_sortino_not_above_validation,False
